snip_id,task,snippet
1,"A happy number is defined by the following Sequence: Starting with any positive integer, replace the number by the sum of the squares of its digits in base-ten, and repeat the process until the number either equals 1 (where it will stay), or it loops endlessly in a cycle that does not include 1. Those numbers for which this process ends in 1 are happy numbers, while those that do not end in 1 are sad numbers.

For example, 19 is happy, as the associated Sequence is:
1 of 2nd degree + 9 of 2nd degree = 82
8 of 2nd degree + 2 of 2nd degree = 68
6 of 2nd degree + 8 of 2nd degree = 100
1 of 2nd degree + 0 of 2nd degree + 0 of 2nd degree = 1
Print all the happy numbers from 1 to 1,000 inclusive, each on their own line.","public class HappyNumbers {
    public static void main(String[] args) {
        for (int i = 1; i <= 1000; i++) {
            int n = i;
            while (n != 1 && n != 4) {
                int sum = 0;
                while (n > 0) {
                    int digit = n % 10;
                    sum += digit * digit;
                    n /= 10;
                }
                n = sum;
            }
            if (n == 1) {
                System.out.println(i);
            }
        }
    }
}
    "
2,"A Leyland number is of the form (x of degree y) + (y of degree x) where 1 < y ≤ x.

For example, 8 is a Leyland number because 2 of degree 2 + 2 of degree 2 = 8.

Print all the Leyland numbers from 1 to 100,000,000,000 inclusive, each on their own line.","public class LeylandNumbers {
    public static void main(String[] args) {
        long limit = 100000000000L;

        for (long x = 2; x * x <= limit; x++) {
            for (long y = 2; y < x; y++) {
                long num = (long) (Math.pow(x, y) + Math.pow(y, x));

                if (num <= limit) {
                    System.out.println(num);
                } else {
                    break;
                }
            }
        }
    }
}
    "
3,"A Niven number is a positive integer that is divisible by the sum of its digits.

Print all the Niven numbers from 1 to 10,000 inclusive, each on their own line.","public class NivenNumbers {
    public static void main(String[] args) {
        for (int i = 1; i <= 10000; i++) {
            int sum = 0;
            int num = i;
            while (num > 0) {
                sum += num % 10;
                num /= 10;
            }
            if (i % sum == 0) {
                System.out.println(i);
            }
        }
    }
}
    "
4,"A number is a divisor of another number if it can divide into it with no remainder.

Print the positive divisors of each number from 1 to 100 inclusive, on their own line, with each divisor separated by a space.","public class Divisors {
    public static void main(String[] args) {
        for(int i = 1; i <= 100; i++) {
            System.out.print(""Divisors of "" + i + "": "");
            for(int j = 1; j <= i; j++) {
                if(i % j == 0) {
                    System.out.print(j + "" "");
                }
            }
            System.out.println();
        }
    }
}
    "
5,"A pangram is a sentence that uses every letter of a given alphabet.

Write a program that will receive various sentences as arguments and print those that are valid pangrams, meaning they use all letters from A to Z, case insensitive.","public class PangramValidator{
    public static void main(String[] args) {
        for(int i=0; i<args.length;i++){
            boolean[] alphaList = new boolean[26];
            int index = 0;
            String input = args[i].toLowerCase();
            for(int j = 0; j < input.length(); j++) {
                if(input.charAt(j) >= 'a' && input.charAt(j) <= 'z') {
                    index = input.charAt(j) - 'a';
                }
                alphaList[index] = true;
            }
            boolean pangram = true;
            for(int k=0;k<26;k++){
                if(!alphaList[k]){
                    pangram = false;
                    break;
                }
            }
            if(pangram){
                System.out.println(args[i]);
            }
        }
    }
}
    "
6,"A pernicious number is a positive number where the sum of its binary expansion is a prime number.

For example, 5 is a pernicious number since 5 = (101 base-2) and 1 + 1 = 2, which is prime.

Print all the pernicious numbers from 0 to 10,000 inclusive, each on their own line.","public class PerniciousNumbers {
    public static void main(String[] args) {
        for (int i = 0; i <= 10000; i++) {
            if (isPernicious(i)) {
                System.out.println(i);
            }
        }
    }

    public static boolean isPernicious(int n) {
        String binary = Integer.toBinaryString(n);
        int sum = 0;
        for (int i = 0; i < binary.length(); i++) {
            sum += Integer.parseInt(String.valueOf(binary.charAt(i)));
        }
        return isPrime(sum);
    }

    public static boolean isPrime(int n) {
        if (n <= 1) {
            return false;
        }
        for (int i = 2; i <= Math.sqrt(n); i++) {
            if (n % i == 0) {
                return false;
            }
        }
        return true;
    }
}
    "
7,"A quine is a non-empty computer program which takes no input and produces a copy of its own source code as its only output. Produce such a program.

Trailing whitespace is NOT stripped from the output for this hole. (Consequently, if your submission doesn't pass, try adding a line break at the end.)","public class Quine {
    public static void main(String[] args) {
        char q = 34;
        String[] lines = {""public class Quine {"",
                ""  public static void main(String[] args) {"",
                ""    char q = 34;"",
                ""    String[] lines = {"",
                ""    };"",
                ""    for (int i = 0; i < 4; i++) {"",
                ""      System.out.println(lines[i]);"",
                ""    }"",
                ""    for (String s : lines) {"",
                ""      System.out.println(q + s + q + ',');"",
                ""    }"",
                ""    for (int i = 5; i < lines.length; i++) {"",
                ""      System.out.println(lines[i]);"",
                ""    }"",
                ""  }"",
                ""}""
        };
        for (int i = 0; i < 4; i++) {
            System.out.println(lines[i]);
        }
        for (String s : lines) {
            System.out.println(q + s + q + ',');
        }
        for (int i = 5; i < lines.length; i++) {
            System.out.println(lines[i]);
        }
    }
}
    "
8,"A Smith number is a composite number whose digit sum is equal to the sum of the digits of its prime factors.

One example of a Smith number is the number 666 = 2 × 3 × 3 × 37, since 6 + 6 + 6 = 2 + 3 + 3 + (3 + 7) = 18.

Print all the Smith numbers from 0 to 10,000 inclusive, each on their own line.","public class SmithNumber {
    public static void main(String[] args) {
        for (int i = 4; i <= 10000; i++) {
            int digitSum = sumOfDigits(i);
            int primeSum = sumOfDigits(primeFactors(i));
            if (digitSum == primeSum) {
                System.out.println(i);
            }
        }
    }

    public static int sumOfDigits(int n) {
        int sum = 0;
        while (n > 0) {
            sum += n % 10;
            n /= 10;
        }
        return sum;
    }

    public static int primeFactors(int n) {
        int sum = 0;
        for (int i = 2; i <= n; i++) {
            while (n % i == 0) {
                sum += sumOfDigits(i);
                n /= i;
            }
        }
        return sum;
    }
}
    "
9,"A vampire number is a non-negative number that can be factored into two numbers (fangs) each with half as many digits as the original where the two factors contain all the digits of the original, in any order. One but not both fangs may have trailing zeros.

For example 1260 = 21×60, 1395 = 15×93, 1435 = 35×41, 1530 = 30×51, etc.

Print all the vampire numbers from 1 to 1,000,000 inclusive, each on their own line.

Be careful with the algorithmic complexity of your solution to avoid timing out.","import java.util.*;

public class VampireNumbers {
    public static void main(String[] args) {
        for (int i = 1000; i <= 9999; i++) {
            if (isVampireNumber(i)) {
                System.out.println(i);
            }
        }
    }

    public static boolean isVampireNumber(int n) {
        int[] digits = getDigits(n);
        for (int i = 10; i <= 99; i++) {
            if (n % i == 0) {
                int j = n / i;
                int[] fangs = getDigits(i, j);
                if (arraysEqual(digits, fangs)) {
                    return true;
                }
            }
        }
        return false;
    }

    public static int[] getDigits(int n) {
        int[] digits = new int[4];
        for (int i = 0; i < 4; i++) {
            digits[i] = n % 10;
            n /= 10;
        }
        return digits;
    }

    public static int[] getDigits(int a, int b) {
        int[] digits = new int[4];
        for (int i = 0; i < 2; i++) {
            int[] temp = getDigits(i == 0 ? a : b);
            digits[i*2] = temp[0];
            digits[i*2+1] = temp[1];
        }
        return digits;
    }

    public static boolean arraysEqual(int[] a, int[] b) {
        Arrays.sort(a);
        Arrays.sort(b);
        return Arrays.equals(a, b);
    }
}"
10,"An abundant number is a number for which the sum of its proper divisors (divisors not including the number itself) is greater than the number itself. For example 12 is abundant because its proper divisors are 1, 2, 3, 4, and 6 which add up to 16.

Print all the abundant numbers from 1 to 1,000 inclusive, each on their own line.","public class AbundantNumbers {

    public static void main(String[] args) {
        for (int i = 1; i <= 1000; i++) {
            int sum = 0;
            for (int j = 1; j <= (int) Math.sqrt(i); j++) {
                if (i % j == 0 && j != i) {
                    sum += j;
                    if (i / j != j && i / j != i) {
                        sum += i / j;
                    }
                }
            }
            if (sum > i) {
                System.out.println(i);
            }
        }
    }
}
    "
11,"An emirp (prime spelled backwards) is a prime number that results in a different prime when its decimal digits are reversed. For example both 13 and 31 are emirps, but 131 is not.

Print all the emirp numbers from 1 to 10,000 inclusive, each on their own line.","public class EmirpFinder {

    public static boolean isPrime(int num) {
        if(num < 2) {
            return false;
        }
        for (int i = 2; i <= Math.sqrt(num); i++) {
            if (num % i == 0) {
                return false;
            }
        }
        return true;
    }

    public static int reverseInt(int num) {
        int reversed = 0;
        while (num != 0) {
            int digit = num % 10;
            reversed = reversed * 10 + digit;
            num /= 10;
        }
        return reversed;
    }

    public static void main(String[] args) {
        for (int i = 1; i <= 10000; i++) {
            if(isPrime(i) && isPrime(reverseInt(i)) && i != reverseInt(i)) {
                System.out.println(i);
            }
        }
    }

}
    "
12,"An evil number is a non-negative number that has an even number of 1s in its binary expansion.

Print all the evil numbers from 0 to 1,000 inclusive, each on their own line.","public class EvilNumbers {
    public static void main(String[] args) {
        for(int i = 0; i <= 1000; i++) {
            int count = 0;
            String binary = Integer.toBinaryString(i);
            for(int j = 0; j < binary.length(); j++) {
                if(binary.charAt(j) == '1') {
                    count++;
                }
            }
            if(count % 2 == 0) {
                System.out.println(i);
            }
        }
    }
}
    "
13,"An odious number is a non-negative number that has an odd number of 1s in its binary expansion.

Print all the odious numbers from 0 to 1,000 inclusive, each on their own line.","public class OdiousNumbers {
    public static void main(String[] args) {
        for(int i = 0; i <= 1000; i++){
            if(countOnes(i) % 2 == 1){
                System.out.println(i);
            }
        }
    }

    public static int countOnes(int num){
        int ones = 0;
        while(num > 0){
            ones += num % 2;
            num /= 2;
        }
        return ones;
    }
}
    "
14,"Calculate the check digit for these incomplete ISBNs. If the check digit would be 10, write ""X"" instead.

The check digit of a-bcdef-ghi-? is computed as − 10a − 9b − 8c − … − 2i, modulo 11. Dashes may occur in varying positions and are ignored.","import java.util.Scanner;

public class ISBNChecker {
    public static void main(String[] args) {
        Scanner input = new Scanner(System.in);
        System.out.print(""Enter incomplete ISBN: "");
        String isbn = input.nextLine().replaceAll(""-"", """");

        int sum = 0;
        for (int i = 0; i < 9; i++) {
            int digit = Integer.parseInt(String.valueOf(isbn.charAt(i)));
            sum += (10 - i) * digit;
        }

        int checkDigit = (11 - (sum % 11));
        String output;
        if (checkDigit == 10) {
            output = ""X"";
        } else {
            output = String.valueOf(checkDigit);
        }
        System.out.println(""The check digit is: "" + output);
    }
}
    "
